pos,B1,B1_sdev,multi,multi_sdev,Bnom,Bnom_sdev
70.0,-38.7400016784668,0.0,50.4630012512207,0.0,-39.00465393066406,0.0
75.0,-38.810001373291016,0.0,50.465999603271484,0.0,-39.00697326660156,0.0
80.0,-38.880001068115234,0.0,50.46699905395508,0.0,-39.007747650146484,0.0
85.0,-38.93000030517578,0.0,50.46699905395508,0.0,-39.007747650146484,0.0
90.0,-38.970001220703125,0.0,50.470001220703125,0.0,-39.01007080078125,0.0
95.0,-38.9900016784668,0.0,50.47100067138672,0.0,-39.01084518432617,0.0
100.0,-39.02000045776367,0.0,50.47100067138672,0.0,-39.01084518432617,0.0
105.0,-39.040000915527344,0.0,50.47200012207031,0.0,-39.011619567871094,0.0
110.0,-39.04999923706055,0.0,50.472999572753906,0.0,-39.012393951416016,0.0
115.0,-39.04999923706055,0.0,50.4739990234375,0.0,-39.01316833496094,0.0
120.0,-39.029998779296875,0.0,50.4739990234375,0.0,-39.01316833496094,0.0
122.0,-39.0099983215332,0.0,50.47600173950195,0.0,-39.01471710205078,0.0
125.0,-38.97999954223633,0.0,50.47700119018555,0.0,-39.0154914855957,0.0
128.0,-38.93000030517578,0.0,50.47800064086914,0.0,-39.016265869140625,0.0
130.0,-38.88999938964844,0.0,50.47800064086914,0.0,-39.016265869140625,0.0
132.0,-38.8489990234375,0.003000000026077032,50.479000091552734,0.0,-39.01704025268555,0.0
135.0,-38.779998779296875,0.0,50.47999954223633,0.0,-39.01781463623047,0.0
138.0,-38.720001220703125,0.0,50.47999954223633,0.0,-39.01781463623047,0.0
140.0,-38.672000885009766,0.004000000189989805,50.48099899291992,0.0,-39.01858901977539,0.0
142.0,-38.641998291015625,0.004000000189989805,50.48099899291992,0.0,-39.01858901977539,0.0
145.0,-38.5989990234375,0.003000000026077032,50.48099899291992,0.0,-39.01858901977539,0.0
148.0,-38.56999969482422,0.0,50.481998443603516,0.0,-39.01935958862305,0.0
150.0,-38.56800079345703,0.004000000189989805,50.481998443603516,0.0,-39.01935958862305,0.0
155.0,-38.5890007019043,0.003000000026077032,50.481998443603516,0.0,-39.01935958862305,0.0
160.0,-38.63999938964844,0.0,50.483001708984375,0.0,-39.020137786865234,0.0
165.0,-38.709999084472656,0.0,50.483001708984375,0.0,-39.020137786865234,0.0
170.0,-38.77399826049805,0.004999999888241291,50.48400115966797,0.0,-39.020912170410156,0.0
175.0,-38.81999969482422,0.0,50.48500061035156,0.0,-39.02168655395508,0.0
180.0,-38.849998474121094,0.0,50.48500061035156,0.0,-39.02168655395508,0.0
185.0,-38.869998931884766,0.0,50.486000061035156,0.0,-39.0224609375,0.0
190.0,-38.880001068115234,0.0,50.48699951171875,0.0,-39.023231506347656,0.0
195.0,-38.869998931884766,0.0,50.48699951171875,0.0,-39.023231506347656,0.0
200.0,-38.849998474121094,0.0,50.487998962402344,0.0,-39.02400588989258,0.0
205.0,-38.81800079345703,0.004000000189989805,50.487998962402344,0.0,-39.02400588989258,0.0
210.0,-38.7599983215332,0.0,50.487998962402344,0.0,-39.02400588989258,0.0
