pos,B1,B1_sdev,multi,multi_sdev,Bnom,Bnom_sdev
-50.0,-36.68000030517578,0.0,51.7859992980957,0.0,-40.02900695800781,0.0
-45.0,-37.25600051879883,0.004999999888241291,51.7859992980957,0.0,-40.02900695800781,0.0
-40.0,-37.83000183105469,0.0,51.7859992980957,0.0,-40.02900695800781,0.0
-35.0,-38.36000061035156,0.0,51.7859992980957,0.0,-40.02900695800781,0.0
-30.0,-38.65999984741211,0.0,51.7859992980957,0.0,-40.02900695800781,0.0
-25.0,-38.959999084472656,0.0,51.7869987487793,0.0,-40.029781341552734,0.0
-20.0,-39.237998962402344,0.004000000189989805,51.7869987487793,0.0,-40.029781341552734,0.0
-15.0,-39.40999984741211,0.0,51.7859992980957,0.0,-40.02900695800781,0.0
-10.0,-39.590999603271484,0.003000000026077032,51.7859992980957,0.0,-40.02900695800781,0.0
-5.0,-39.70000076293945,0.0,51.784000396728516,0.0,-40.02745819091797,0.0
0.0,-39.810001373291016,0.0,51.78300094604492,0.0,-40.02668380737305,0.0
5.0,-39.900001525878906,0.0,51.78300094604492,0.0,-40.02668380737305,0.0
10.0,-39.952999114990234,0.004999999888241291,51.78200149536133,0.0,-40.025909423828125,0.0
15.0,-39.9900016784668,0.0,51.78200149536133,0.0,-40.025909423828125,0.0
20.0,-40.02000045776367,0.0,51.78200149536133,0.0,-40.025909423828125,0.0
25.0,-40.040000915527344,0.0,51.78200149536133,0.0,-40.025909423828125,0.0
30.0,-40.055999755859375,0.004999999888241291,51.78200149536133,0.0,-40.025909423828125,0.0
35.0,-40.060001373291016,0.0,51.78099822998047,0.0,-40.0251350402832,0.0
40.0,-40.05699920654297,0.004999999888241291,51.78099822998047,0.0,-40.0251350402832,0.0
45.0,-40.060001373291016,0.0,51.78099822998047,0.0,-40.0251350402832,0.0
50.0,-40.060001373291016,0.0,51.779998779296875,0.0,-40.02436065673828,0.0
55.0,-40.051998138427734,0.004000000189989805,51.779998779296875,0.0,-40.02436065673828,0.0
60.0,-40.058998107910156,0.003000000026077032,51.77899932861328,0.0,-40.02358627319336,0.0
65.0,-40.040000915527344,0.0,51.77799987792969,0.0,-40.02281188964844,0.0
70.0,-40.04999923706055,0.0,51.777000427246094,0.0,-40.022037506103516,0.0
75.0,-40.05500030517578,0.004999999888241291,51.777000427246094,0.0,-40.022037506103516,0.0
80.0,-40.06999969482422,0.0,51.7760009765625,0.0,-40.021263122558594,0.0
85.0,-40.06999969482422,0.0,51.777000427246094,0.0,-40.022037506103516,0.0
90.0,-40.060001373291016,0.0,51.7760009765625,0.0,-40.021263122558594,0.0
95.0,-40.06999969482422,0.0,51.775001525878906,0.0,-40.02049255371094,0.0
100.0,-40.060001373291016,0.0,51.77399826049805,0.0,-40.01971435546875,0.0
105.0,-40.060001373291016,0.0,51.77299880981445,0.0,-40.01893997192383,0.0
110.0,-40.060001373291016,0.0,51.77399826049805,0.0,-40.01971435546875,0.0
115.0,-40.03200149536133,0.004000000189989805,51.77399826049805,0.0,-40.01971435546875,0.0
120.0,-40.0099983215332,0.0,51.77399826049805,0.0,-40.01971435546875,0.0
125.0,-39.97999954223633,0.0,51.77399826049805,0.0,-40.01971435546875,0.0
130.0,-39.93000030517578,0.0,51.77299880981445,0.0,-40.01893997192383,0.0
135.0,-39.8489990234375,0.008999999612569809,51.77199935913086,0.0,-40.018165588378906,0.0
140.0,-39.71699905395508,0.012000000104308128,51.77199935913086,0.0,-40.018165588378906,0.0
145.0,-39.65999984741211,0.0,51.77199935913086,0.0,-40.018165588378906,0.0
150.0,-39.494998931884766,0.004999999888241291,51.77199935913086,0.0,-40.018165588378906,0.0
155.0,-39.23400115966797,0.004999999888241291,51.77199935913086,0.0,-40.018165588378906,0.0
160.0,-39.04999923706055,0.0,51.77199935913086,0.0,-40.018165588378906,0.0
165.0,-38.72200012207031,0.004000000189989805,51.77199935913086,0.0,-40.018165588378906,0.0
170.0,-38.34000015258789,0.02800000086426735,51.770999908447266,0.0,-40.017391204833984,0.0
