pos,B1,B1_sdev,multi,multi_sdev,Bnom,Bnom_sdev
230.0,-39.099998474121094,0.0,50.483001708984375,0.0,-40.01641282105904,0.013159071385597798
225.0,-39.29999923706055,0.0,50.48099899291992,0.0,-40.01641282105904,0.013159071385597798
220.0,-39.560001373291016,0.052000001072883606,50.47999954223633,0.0,-40.01641282105904,0.013159071385597798
215.0,-39.70000076293945,0.0,50.47700119018555,0.0,-40.01641282105904,0.013159071385597798
210.0,-39.900001525878906,0.0,50.47600173950195,0.0,-40.01641282105904,0.013159071385597798
205.0,-40.0,0.0,50.474998474121094,0.0,-40.01641282105904,0.013159071385597798
200.0,-40.099998474121094,0.0,50.4739990234375,0.0010000000474974513,-40.01641282105904,0.013159071385597798
195.0,-40.29999923706055,0.0,50.47100067138672,0.0,-40.01641282105904,0.013159071385597798
190.0,-40.400001525878906,0.0,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
187.0,-40.5,0.0,50.46900177001953,0.0,-40.01641282105904,0.013159071385597798
185.0,-40.599998474121094,0.0,50.46900177001953,0.0,-40.01641282105904,0.013159071385597798
182.0,-40.79999923706055,0.0,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
180.0,-40.900001525878906,0.0,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
177.0,-41.20000076293945,0.0,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
175.0,-41.400001525878906,0.0,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
173.0,-41.61000061035156,0.03200000151991844,50.46900177001953,0.0,-40.01641282105904,0.013159071385597798
151.0,0.0010000000474974513,0.003000000026077032,50.470001220703125,0.0,-40.01641282105904,0.013159071385597798
148.0,-0.0010000000474974513,0.003000000026077032,50.46799850463867,0.0,-40.01641282105904,0.013159071385597798
146.0,0.0,0.0,50.46799850463867,0.0,-40.01641282105904,0.013159071385597798
143.0,-0.03200000151991844,0.004000000189989805,50.465999603271484,0.0,-40.01641282105904,0.013159071385597798
141.0,-0.06199999898672104,0.004000000189989805,50.4640007019043,0.0,-40.01641282105904,0.013159071385597798
122.0,-41.88999938964844,0.03200000151991844,50.452999114990234,0.0,-40.01641282105904,0.013159071385597798
120.0,-41.599998474121094,0.0,50.45100021362305,0.0,-40.01641282105904,0.013159071385597798
117.0,-41.20000076293945,0.0,50.44900131225586,0.0,-40.01641282105904,0.013159071385597798
115.0,-41.0,0.0,50.448001861572266,0.0,-40.01641282105904,0.013159071385597798
112.0,-40.79999923706055,0.0,50.44599914550781,0.0,-40.01641282105904,0.013159071385597798
110.0,-40.70000076293945,0.0,50.44499969482422,0.0,-40.01641282105904,0.013159071385597798
107.0,-40.599998474121094,0.0,50.44300079345703,0.0,-40.01641282105904,0.013159071385597798
105.0,-40.5,0.0,50.44200134277344,0.0,-40.01641282105904,0.013159071385597798
102.0,-40.400001525878906,0.0,50.43899917602539,0.0,-40.01641282105904,0.013159071385597798
100.0,-40.400001525878906,0.0,50.43899917602539,0.0,-40.01641282105904,0.013159071385597798
95.0,-40.29999923706055,0.0,50.4370002746582,0.0,-40.01641282105904,0.013159071385597798
90.0,-40.20000076293945,0.0,50.43600082397461,0.0,-40.01641282105904,0.013159071385597798
85.0,-40.099998474121094,0.0,50.435001373291016,0.0,-40.01641282105904,0.013159071385597798
80.0,-40.0,0.0,50.433998107910156,0.0010000000474974513,-40.01641282105904,0.013159071385597798
75.0,-40.0,0.0,50.44499969482422,0.0010000000474974513,-40.01641282105904,0.013159071385597798
70.0,-39.900001525878906,0.0,50.45899963378906,0.0010000000474974513,-40.01641282105904,0.013159071385597798
65.0,-39.79999923706055,0.0,50.470001220703125,0.0010000000474974513,-40.01641282105904,0.013159071385597798
60.0,-39.70000076293945,0.0,50.479000091552734,0.0010000000474974513,-40.01641282105904,0.013159071385597798
55.0,-39.599998474121094,0.0,50.48699951171875,0.0,-40.01641282105904,0.013159071385597798
50.0,-39.400001525878906,0.0,50.492000579833984,0.0,-40.01641282105904,0.013159071385597798
45.0,-39.099998474121094,0.0,50.494998931884766,0.0,-40.01641282105904,0.013159071385597798
